student_id,student_name,courses_taken,average_score,subjects,recommendations
STU_0,Katherine Ramirez,3,13.333333333333334,"Data Science, Business","Discrete Mathematics (CRS_3), Mobile App Development (CRS_7), Game Programming (CRS_5), Entrepreneurship Essentials (CRS_12), Business Analytics (CRS_14)"
STU_1,Emma Cox,4,56.75,"Data Science, Business, Language","Probability Theory (CRS_0), API Design & Development (CRS_6), Linear Algebra (CRS_2), Business Analytics (CRS_14), Swedish for Beginners (CRS_17)"
STU_2,Gary Patterson,10,58.8,"Mathematics, Programming, Data Science, Business","Game Programming (CRS_5), Cybersecurity Coding (CRS_4), API Design & Development (CRS_6), Project Management (CRS_15), Entrepreneurship Essentials (CRS_12)"
STU_3,Stephen Bailey,9,63.44444444444444,"Mathematics, Programming, Data Science, Business, Language","Project Management (CRS_15), Entrepreneurship Essentials (CRS_12), Discrete Mathematics (CRS_3), Data Ethics & Privacy (CRS_11), Japanese Fundamentals (CRS_19)"
STU_4,Sarah Edwards,3,52.333333333333336,"Business, Language","Probability Theory (CRS_0), API Design & Development (CRS_6), Linear Algebra (CRS_2), Business Analytics (CRS_14), Entrepreneurship Essentials (CRS_12)"
STU_5,Steven Miller,6,50.166666666666664,"Mathematics, Language","Japanese Fundamentals (CRS_19), Business Communication (CRS_13), Mathematical Physics (CRS_1), Linear Algebra (CRS_2), Game Programming (CRS_5)"
STU_6,Samantha Allen,16,67.0625,"Mathematics, Programming, Data Science, Business, Language","Cybersecurity Coding (CRS_4), Linear Algebra (CRS_2), Entrepreneurship Essentials (CRS_12), Data Ethics & Privacy (CRS_11), Japanese Fundamentals (CRS_19)"
STU_7,Jack Long,2,30.0,"Mathematics, Business","Project Management (CRS_15), Business Analytics (CRS_14), Data Ethics & Privacy (CRS_11), Probability Theory (CRS_0), Mathematical Physics (CRS_1)"
STU_8,Kimberly Diaz,5,28.4,"Mathematics, Programming, Data Science","Machine Learning Fundamentals (CRS_9), Data Ethics & Privacy (CRS_11), Linear Algebra (CRS_2), Discrete Mathematics (CRS_3), API Design & Development (CRS_6)"
STU_9,Anthony Hughes,4,34.75,"Programming, Business","Discrete Mathematics (CRS_3), API Design & Development (CRS_6), Project Management (CRS_15), Business Analytics (CRS_14), Data Ethics & Privacy (CRS_11)"
STU_10,Cynthia White,4,59.25,"Mathematics, Data Science, Language","Probability Theory (CRS_0), Linear Algebra (CRS_2), Cybersecurity Coding (CRS_4), Swedish for Beginners (CRS_17), Japanese Fundamentals (CRS_19)"
STU_11,Nicole Torres,2,54.5,"Data Science, Business","Machine Learning Fundamentals (CRS_9), Mathematical Physics (CRS_1), Cybersecurity Coding (CRS_4), Data Ethics & Privacy (CRS_11), Project Management (CRS_15)"
STU_12,Edward Henderson,5,54.6,"Mathematics, Programming, Language","Mathematical Physics (CRS_1), Machine Learning Fundamentals (CRS_9), Cybersecurity Coding (CRS_4), Japanese Fundamentals (CRS_19), Dutch Language Basics (CRS_16)"
STU_13,Patrick Thompson,7,44.57142857142857,"Mathematics, Programming, Data Science, Language","Swedish for Beginners (CRS_17), Japanese Fundamentals (CRS_19), Probability Theory (CRS_0), Business Communication (CRS_13), Mathematical Physics (CRS_1)"
STU_14,Sarah Moore,2,63.5,"Programming, Data Science","Game Programming (CRS_5), Discrete Mathematics (CRS_3), Cybersecurity Coding (CRS_4), API Design & Development (CRS_6), Predictive Analytics (CRS_10)"
STU_15,Gary Moore,7,43.857142857142854,"Mathematics, Programming, Data Science, Language","Swedish for Beginners (CRS_17), Dutch Language Basics (CRS_16), Probability Theory (CRS_0), Business Communication (CRS_13), Discrete Mathematics (CRS_3)"
STU_16,Jack Diaz,5,80.6,"Programming, Data Science, Business, Language","Japanese Fundamentals (CRS_19), Dutch Language Basics (CRS_16), Probability Theory (CRS_0), Business Communication (CRS_13), Machine Learning Fundamentals (CRS_9)"
STU_17,Timothy White,5,53.8,"Mathematics, Data Science, Language","Mathematical Physics (CRS_1), Cybersecurity Coding (CRS_4), Japanese Fundamentals (CRS_19), Probability Theory (CRS_0), Discrete Mathematics (CRS_3)"
STU_18,Joshua Butler,3,69.33333333333333,"Mathematics, Data Science, Business","Big Data Processing (CRS_8), Mathematical Physics (CRS_1), Cybersecurity Coding (CRS_4), Data Ethics & Privacy (CRS_11), Entrepreneurship Essentials (CRS_12)"
STU_19,Jonathan Peterson,5,20.0,"Mathematics, Programming, Business, Language","Probability Theory (CRS_0), Mathematical Physics (CRS_1), Linear Algebra (CRS_2), Mobile App Development (CRS_7), Cybersecurity Coding (CRS_4)"
STU_20,Jack Reed,3,41.666666666666664,"Programming, Data Science, Language","Mobile App Development (CRS_7), Discrete Mathematics (CRS_3), Cybersecurity Coding (CRS_4), API Design & Development (CRS_6), Big Data Processing (CRS_8)"
STU_21,Margaret Mitchell,6,48.0,"Programming, Data Science, Business, Language","Project Management (CRS_15), Entrepreneurship Essentials (CRS_12), Discrete Mathematics (CRS_3), Data Ethics & Privacy (CRS_11), Mathematical Physics (CRS_1)"
STU_22,Angela Smith,8,50.5,"Mathematics, Data Science, Business, Language","Project Management (CRS_15), Business Analytics (CRS_14), Discrete Mathematics (CRS_3), Data Ethics & Privacy (CRS_11), Linear Algebra (CRS_2)"
STU_23,Kevin Miller,8,58.625,"Mathematics, Programming, Data Science, Business, Language","Big Data Processing (CRS_8), Mathematical Physics (CRS_1), Cybersecurity Coding (CRS_4), Data Ethics & Privacy (CRS_11), Swedish for Beginners (CRS_17)"
STU_24,Sharon Simmons,5,52.8,"Data Science, Business, Language","Swedish for Beginners (CRS_17), Probability Theory (CRS_0), API Design & Development (CRS_6), Linear Algebra (CRS_2), Business Analytics (CRS_14)"
STU_25,Matthew Hill,6,51.5,"Programming, Data Science, Business, Language","Swedish for Beginners (CRS_17), Japanese Fundamentals (CRS_19), Probability Theory (CRS_0), Business Communication (CRS_13), Entrepreneurship Essentials (CRS_12)"
STU_26,Jennifer Diaz,7,40.42857142857143,"Mathematics, Programming, Business","Mathematical Physics (CRS_1), Linear Algebra (CRS_2), Game Programming (CRS_5), Cybersecurity Coding (CRS_4), Project Management (CRS_15)"
STU_27,Laura Allen,1,9.0,Data Science,"Machine Learning Fundamentals (CRS_9), Mathematical Physics (CRS_1), Cybersecurity Coding (CRS_4), Data Ethics & Privacy (CRS_11)"
STU_28,Margaret Nelson,3,49.333333333333336,"Mathematics, Programming, Business","Game Programming (CRS_5), Discrete Mathematics (CRS_3), Cybersecurity Coding (CRS_4), API Design & Development (CRS_6), Entrepreneurship Essentials (CRS_12)"
STU_29,Timothy Robinson,7,65.85714285714286,"Mathematics, Programming, Data Science, Language","Probability Theory (CRS_0), Discrete Mathematics (CRS_3), Japanese Fundamentals (CRS_19), Business Communication (CRS_13), Data Ethics & Privacy (CRS_11)"
STU_30,Edward Ross,6,25.333333333333332,"Programming, Data Science, Business, Language","Entrepreneurship Essentials (CRS_12), Business Analytics (CRS_14), Discrete Mathematics (CRS_3), Data Ethics & Privacy (CRS_11), Mathematical Physics (CRS_1)"
STU_31,Kathleen Peterson,2,41.0,Data Science,"Mathematical Physics (CRS_1), Cybersecurity Coding (CRS_4), Data Ethics & Privacy (CRS_11)"
STU_32,Laura Price,5,69.0,"Mathematics, Programming, Data Science, Business","Project Management (CRS_15), Discrete Mathematics (CRS_3), Data Ethics & Privacy (CRS_11), Probability Theory (CRS_0), Linear Algebra (CRS_2)"
STU_33,Robert Roberts,7,59.285714285714285,"Mathematics, Programming, Data Science, Business, Language","Game Programming (CRS_5), Discrete Mathematics (CRS_3), Cybersecurity Coding (CRS_4), API Design & Development (CRS_6), Predictive Analytics (CRS_10)"
STU_34,Samantha Russell,3,85.33333333333333,"Mathematics, Data Science","Probability Theory (CRS_0), Mathematical Physics (CRS_1), Discrete Mathematics (CRS_3), API Design & Development (CRS_6), Mobile App Development (CRS_7)"
STU_35,Gregory Evans,7,46.57142857142857,"Mathematics, Programming, Business","Probability Theory (CRS_0), Linear Algebra (CRS_2), Game Programming (CRS_5), Entrepreneurship Essentials (CRS_12), Data Ethics & Privacy (CRS_11)"
STU_36,Ronald Diaz,3,76.66666666666667,"Business, Language","Japanese Fundamentals (CRS_19), Dutch Language Basics (CRS_16), Probability Theory (CRS_0), Business Communication (CRS_13), Business Analytics (CRS_14)"
STU_37,Kenneth Clark,6,72.33333333333333,"Mathematics, Programming, Data Science, Language","Linear Algebra (CRS_2), Game Programming (CRS_5), Mathematical Physics (CRS_1), Mobile App Development (CRS_7), Big Data Processing (CRS_8)"
STU_38,Linda Bailey,6,27.0,"Programming, Data Science, Business, Language","Discrete Mathematics (CRS_3), Cybersecurity Coding (CRS_4), API Design & Development (CRS_6), Business Analytics (CRS_14), Data Ethics & Privacy (CRS_11)"
STU_39,Rachel Gonzales,3,58.666666666666664,"Programming, Data Science, Language","Game Programming (CRS_5), Discrete Mathematics (CRS_3), Cybersecurity Coding (CRS_4), API Design & Development (CRS_6), Swedish for Beginners (CRS_17)"
STU_40,Susan Williams,4,53.25,"Mathematics, Business","Project Management (CRS_15), Discrete Mathematics (CRS_3), Data Ethics & Privacy (CRS_11), Mathematical Physics (CRS_1), API Design & Development (CRS_6)"
STU_41,Christine Alexander,5,80.4,"Mathematics, Programming, Language","Japanese Fundamentals (CRS_19), Probability Theory (CRS_0), Business Communication (CRS_13), Cybersecurity Coding (CRS_4), Game Programming (CRS_5)"
STU_42,Anna Baker,4,50.25,"Mathematics, Programming, Data Science, Business","Machine Learning Fundamentals (CRS_9), Mathematical Physics (CRS_1), Cybersecurity Coding (CRS_4), Data Ethics & Privacy (CRS_11), Probability Theory (CRS_0)"
STU_43,Daniel Carter,5,50.0,"Mathematics, Programming, Data Science, Business","Entrepreneurship Essentials (CRS_12), Business Analytics (CRS_14), Discrete Mathematics (CRS_3), Mobile App Development (CRS_7), Cybersecurity Coding (CRS_4)"
STU_44,Patricia Rogers,4,48.0,"Programming, Business, Language","Mathematical Physics (CRS_1), Machine Learning Fundamentals (CRS_9), Cybersecurity Coding (CRS_4), Japanese Fundamentals (CRS_19), Entrepreneurship Essentials (CRS_12)"
STU_45,Andrew Hughes,3,60.333333333333336,"Mathematics, Programming, Business","Entrepreneurship Essentials (CRS_12), Business Analytics (CRS_14), Data Ethics & Privacy (CRS_11), Probability Theory (CRS_0), Mathematical Physics (CRS_1)"
STU_46,Rebecca Wright,9,36.111111111111114,"Mathematics, Programming, Data Science, Business, Language","Japanese Fundamentals (CRS_19), Dutch Language Basics (CRS_16), Probability Theory (CRS_0), Business Communication (CRS_13), Data Ethics & Privacy (CRS_11)"
STU_47,Jeffrey Alexander,7,50.0,"Mathematics, Data Science, Language","Mathematical Physics (CRS_1), Machine Learning Fundamentals (CRS_9), Cybersecurity Coding (CRS_4), Swedish for Beginners (CRS_17), Probability Theory (CRS_0)"
STU_48,Susan Torres,6,51.0,"Mathematics, Programming, Language","Game Programming (CRS_5), API Design & Development (CRS_6), Mathematical Physics (CRS_1), Japanese Fundamentals (CRS_19), Dutch Language Basics (CRS_16)"
STU_49,Nancy Wilson,2,65.0,"Programming, Data Science","Mobile App Development (CRS_7), Discrete Mathematics (CRS_3), Cybersecurity Coding (CRS_4), API Design & Development (CRS_6), Machine Learning Fundamentals (CRS_9)"
STU_50,Justin Jones,3,49.0,"Programming, Business, Language","Entrepreneurship Essentials (CRS_12), Business Analytics (CRS_14), Discrete Mathematics (CRS_3), Data Ethics & Privacy (CRS_11), Swedish for Beginners (CRS_17)"
STU_51,George Torres,2,46.0,"Programming, Business","Mathematical Physics (CRS_1), Game Programming (CRS_5), API Design & Development (CRS_6), Mobile App Development (CRS_7), Probability Theory (CRS_0)"
STU_52,Jennifer Bell,10,56.3,"Mathematics, Programming, Data Science, Business, Language","Swedish for Beginners (CRS_17), Japanese Fundamentals (CRS_19), Probability Theory (CRS_0), Business Communication (CRS_13), Project Management (CRS_15)"
STU_53,Steven Phillips,3,77.66666666666667,"Programming, Language","Mathematical Physics (CRS_1), Game Programming (CRS_5), API Design & Development (CRS_6), Mobile App Development (CRS_7), Machine Learning Fundamentals (CRS_9)"
STU_54,Debra Henderson,3,57.333333333333336,"Programming, Business, Language","Mathematical Physics (CRS_1), Machine Learning Fundamentals (CRS_9), Cybersecurity Coding (CRS_4), Japanese Fundamentals (CRS_19), Probability Theory (CRS_0)"
STU_55,Lisa Washington,5,23.8,"Mathematics, Programming, Data Science, Business","Entrepreneurship Essentials (CRS_12), Business Analytics (CRS_14), Probability Theory (CRS_0), Cybersecurity Coding (CRS_4), Game Programming (CRS_5)"
